TT,Đối tác, Số dự án cấp mới , Vốn đăng ký cấp mới (triệu USD) , Số lượt dự án điều chỉnh ," Vốn đăng ký điều chỉnh
(triệu USD) ", Số lượt góp vốn mua cổ phần ," Giá trị góp vốn, mua cổ phần 
(triệu USD) ",Năm
88,Quảng Bình,3,21.43,,,1,21.06,2016
89,Lâm Đồng,,,6,39.49,10,1.95,2016
90,Bến Tre,6,29.28,2,0.71,2,2.36,2016
91,Dầu khí,1,31.50,,,,,2016
92,Thừa Thiên Huế,9,28.39,1,0.70,1,1.15,2016
93,Lào Cai,2,0.38,2,25.94,,,2016
94,Quảng Ngãi,9,96.30,4,-74.32,,,2016
95,Đồng Tháp,3,17.90,,,2,0.50,2016
96,Hà Giang,,,,,2,11.09,2016
97,An Giang,1,0.02,2,3.10,1,7.52,2016
98,Hòa Bình,1,3.00,5,5.77,,,2016
99,Lạng Sơn,2,7.79,,,,,2016
100,Bình Thuận,10,2.83,2,3.62,,,2016
101,Kon Tum,3,5.96,,,,,2016
102,Sóc Trăng,1,5.00,,,,,2016
103,Kiên Giang,2,4.77,,,,,2016
104,Quảng Trị,1,4.00,,,,,2016
105,Yên Bái,1,0.66,1,1.00,3,1.05,2016
106,Đăk Lăk,1,0.23,,,,,2016
107,Đăk Nông,,,1,-1.30,,,2016
108,Gia Lai,,,1,-2.94,,,2016
109,TP. Hồ Chí Minh,864," 2,313.95 ",247," 1,000.11 "," 2,788 "," 3,191.90 ",2017
110,Bắc Ninh,184, 371.71 ,136," 2,888.34 ", 125 , 144.49 ,2017
111,Thanh Hóa,15," 3,159.40 ",5, 5.80 , 7 , 6.51 ,2017
112,Bình Dương,189," 1,356.46 ",132," 1,117.00 ", 392 , 324.71 ,2017
113,Khánh Hòa,4," 2,584.86 ",2, 13.50 , 55 , 28.04 ,2017
114,Hà Nội,542," 1,111.25 ",167, 662.73 , 637 , 724.97 ,2017
115,Nam Định,16," 2,134.30 ",10, 92.08 , 10 , 77.60 ,2017
116,Đồng Nai,83," 1,002.38 ",81, 307.76 , 181 , 453.86 ,2017
117,Kiên Giang,7," 1,342.30 ",2, (28.99), 2 , 0.03 ,2017
118,Tây Ninh,24, 722.90 ,30, 268.09 , 28 , 18.26 ,2017
119,Hải Phòng,57, 220.72 ,41, 622.75 , 35 , 41.41 ,2017
120,Bắc Giang,69, 764.90 ,18, 18.27 , 36 , 72.36 ,2017
121,Bà Rịa - Vũng Tàu,25, 204.27 ,15, 242.97 , 34 , 80.24 ,2017
122,Hưng Yên,37, 360.64 ,44, 144.16 , 36 , 16.81 ,2017
123,Bình Phước,24, 369.91 ,21, 111.07 , 22 , 30.80 ,2017
124,Long An,97, 207.81 ,81, 136.40 , 164 , 166.72 ,2017
125,Quảng Ngãi,7, 313.84 ,2, 60.75 ,,,2017
126,Hải Dương,48, 247.94 ,27, 83.33 , 37 , 34.88 ,2017
127,Ninh Thuận,3, 265.77 ,,, 4 , 0.35 ,2017
128,Hà Nam,18, 119.11 ,19, 104.64 , 16 , 20.84 ,2017
129,Yên Bái,4, 237.02 ,,, 2 , 1.13 ,2017
130,Bến Tre,4, 168.41 ,5, 43.95 , 13 , 23.80 ,2017
131,Ninh Bình,8, 126.17 ,4, 56.10 , 7 , 51.80 ,2017
132,Phú Thọ,15, 153.49 ,16, 73.72 , 4 , 2.95 ,2017
133,Quảng Bình,2, 56.07 ,,, 8 , 155.85 ,2017
134,Vĩnh Phúc,44, 108.81 ,7, 54.10 , 52 , 40.52 ,2017
135,Bình Định,9, 117.22 ,4, 31.70 , 7 , 1.25 ,2017
136,Tiền Giang,6, 68.62 ,7, 67.30 , 10 , 14.13 ,2017
137,Trà Vinh,4, 144.92 ,1, (5.09), 7 , 3.46 ,2017
138,Đà Nẵng,66, 115.86 ,6, 0.94 , 111 , 25.77 ,2017
139,Quảng Nam,18, 112.65 ,4, 9.50 , 18 , 12.85 ,2017
140,Vĩnh Long,3, 55.31 ,5, 72.41 ,,,2017
141,Nghệ An,4, 123.32 ,,, 2 , 0.16 ,2017
142,Thái Nguyên,12, 13.81 ,17, 85.10 , 18 , 7.01 ,2017
143,Thái Bình,11, 96.26 ,7, (4.11), 10 , 7.35 ,2017
144,Hà Tĩnh,7, 16.41 ,2, 40.55 , 13 , 41.94 ,2017
145,Đồng Tháp,4, 51.01 ,2, 1.65 , 4 , 23.81 ,2017
146,Lâm Đồng,7, 59.53 ,4, 3.83 , 40 , 9.24 ,2017
147,Đăk Lăk,2, 49.50 ,1, 9.00 , 2 , 1.75 ,2017
148,Quảng Ninh,7, 52.32 ,3, 3.73 , 13 , 3.69 ,2017
149,Hòa Bình,4, 28.62 ,1, 10.00 , 2 , 0.11 ,2017
150,Bình Thuận,6, 12.55 ,3, 10.90 , 9 , 6.93 ,2017
151,Cần Thơ,4, 8.40 ,1, 5.62 , 12 , 12.85 ,2017
152,Đăk Nông,1, 23.48 ,,, 1 , 0.14 ,2017
153,Cà Mau,2, 32.41 ,1, (11.43), 1 ,,2017
154,Sóc Trăng,1, 20.00 ,,,,,2017
155,Lào Cai,2, 8.15 ,2, 3.63 , 3 , 6.57 ,2017
156,Sơn La,2, 13.83 ,1, 0.30 , 1 , 1.01 ,2017
157,Cao Bằng,1, 10.00 ,1, (2.10), 1 , 0.27 ,2017
158,An Giang,1, 0.20 ,,, 4 , 7.73 ,2017
159,Thừa Thiên Huế,5, 1.62 ,,, 8 , 4.89 ,2017
160,Điện Biên,1, 3.00 ,,, 1 , 2.80 ,2017
161,Hà Giang,3, 4.52 ,,, 2 , 0.45 ,2017
162,Quảng Trị,, -   ,1, 4.00 ,,,2017
163,Lạng Sơn,1, 2.20 ,,, 3 , 1.21 ,2017
164,Tuyên Quang,1, 2.80 ,,,,,2017
165,Phú Yên,3, 1.63 ,1, 0.37 , 2 , 0.64 ,2017
166,Kon Tum,1, 0.45 ,1, 0.40 , 1 , 0.25 ,2017
167,Hậu Giang,2, 0.92 ,,, 1 , 0.03 ,2017
168,Hà Nội,622," 5,041.05 ",167, 775.13 , 803 ," 1,703.13 ",2018
169,TP. Hồ Chí Minh,1029, 784.81 ,254, 170.72 ," 3,710 "," 4,993.11 ",2018
170,Hải Phòng,111, 723.84 ,50," 1,829.64 ", 57 , 540.01 ,2018
171,Bình Dương,215," 1,216.58 ",135, 548.37 , 492 , 562.20 ,2018
172,Bà Rịa - Vũng Tàu,45," 1,803.51 ",25, 148.43 , 60 , 162.74 ,2018
173,Đồng Nai,125, 988.99 ,21, 63.21 , 211 , 403.37 ,2018
174,Thừa Thiên Huế,8, 27.69 ,5," 1,140.00 ", 16 , 104.69 ,2018
175,Bắc Ninh,173, 394.69 ,116, 677.55 , 156 , 51.75 ,2018
176,Tây Ninh,30, 453.32 ,27, 317.53 , 43 , 65.97 ,2018
177,Long An,86, 275.10 ,88, 220.07 , 166 , 193.11 ,2018
178,Hải Dương,44, 235.98 ,28, 299.18 , 50 , 61.85 ,2018
179,Bắc Giang,67, 183.78 ,36, 318.89 , 44 , 40.32 ,2018
180,Bình Phước,29, 348.65 ,20, 96.98 , 32 , 35.05 ,2018
181,Hưng Yên,29, 127.54 ,47, 277.84 , 55 , 73.04 ,2018
182,Quảng Nam,29, 322.86 ,5, 107.98 , 24 , 31.10 ,2018
183,Thái Nguyên,14, 387.09 ,16, 33.88 , 22 , 24.51 ,2018
184,Hà Nam,42, 329.87 ,32, 91.67 , 21 , 15.21 ,2018
185,Ninh Thuận,8, 387.53 ,,, 5 , 14.12 ,2018
186,Quảng Ninh,7, 385.74 ,,, 12 , 12.41 ,2018
187,Bến Tre,4, 382.81 ,5, (4.31), 12 , 16.46 ,2018
188,Vĩnh Phúc,59, 268.45 ,5, 87.20 , 61 , 29.54 ,2018
189,Bạc Liêu,1, 365.76 ,1, 1.96 , 1 , 0.35 ,2018
190,Quảng Ngãi,14, 356.34 ,1, 10.00 , 1 , 0.05 ,2018
191,Thanh Hóa,16, 52.42 ,2, 14.30 , 21 , 297.96 ,2018
192,Kiên Giang,4, 353.59 ,1, (0.22), 2 , 0.52 ,2018
193,Đà Nẵng,102, 267.96 ,9, 1.10 , 180 , 42.74 ,2018
194,Nam Định,15, 137.48 ,9, 34.20 , 13 , 107.11 ,2018
195,Tiền Giang,10, 103.16 ,14, 106.18 , 9 , 37.62 ,2018
196,Hòa Bình,2, 200.09 ,2, 12.00 , 8 , 3.07 ,2018
197,Ninh Bình,12, 115.08 ,6, 51.55 , 8 , 40.56 ,2018
198,Vĩnh Long,11, 159.00 ,5, 11.04 , 2 , 0.72 ,2018
199,Phú Thọ,13, 96.12 ,10, 60.33 , 14 , 8.89 ,2018
200,Bình Định,9, 142.02 ,2, 0.31 , 11 , 14.91 ,2018
201,Trà Vinh,2, 150.16 ,,, 5 , 0.67 ,2018
202,Hà Tĩnh,8, 98.26 ,,, 13 , 34.50 ,2018
203,Khánh Hòa,7, 8.20 ,5, 4.65 , 43 , 78.05 ,2018
204,Sóc Trăng,3, 89.76 ,,,,,2018
205,Thái Bình,6, 31.31 ,7, 10.24 , 10 , 14.52 ,2018
206,Đăk Nông,1, 48.75 ,,,,,2018
207,Cà Mau,2, 37.14 ,,, 1 , 0.51 ,2018
208,Cần Thơ,6, 4.74 ,1, 30.61 , 14 , 2.10 ,2018
209,Quảng Bình,2, 13.07 ,2, 18.50 , 3 , 0.13 ,2018
210,Đăk Lăk,2, 2.02 ,1, 2.47 , 2 , 25.01 ,2018
211,Tuyên Quang,1, 21.37 ,1, 3.63 , 5 , 1.59 ,2018
212,Nghệ An,5, 24.68 ,,, 3 , 1.00 ,2018
213,Bình Thuận,,,1, 0.41 , 7 , 18.71 ,2018
214,Phú Yên,5, 13.85 ,1, 0.17 , 3 , 1.62 ,2018
215,Lạng Sơn,1, 0.90 ,1, 10.00 , 6 , 3.00 ,2018
216,Kon Tum,1, 2.00 ,1, 9.00 ,,,2018
217,Lâm Đồng,2, 5.40 ,2, 0.37 , 34 , 4.65 ,2018
218,Yên Bái,1, 1.00 ,,, 9 , 7.24 ,2018
219,Đồng Tháp,1, 1.00 ,,, 4 , 6.35 ,2018
220,Hậu Giang,1, 2.90 ,1, 3.00 ,,,2018
221,An Giang,2, 0.32 ,,, 4 , 1.89 ,2018
222,Sơn La,,,1, 0.90 , 2 , 1.20 ,2018
223,Lào Cai,,,,, 2 , 0.84 ,2018
224,Quảng Trị,,,,, 1 , 0.71 ,2018
225,Hà Giang,2, 0.44 ,,, 2 , 0.20 ,2018
226,Bắc Kạn,,,,, 1 , 0.06 ,2018
227,Hà Nội,879," 1,382.06   ",196, 600.04   ," 1,351 "," 6,472.60   ",2019
228,TP. Hồ Chí Minh,1320," 1,841.35   ",309, 858.74   ," 5,720 "," 5,595.33   ",2019
229,Bình Dương,243," 1,546.59   ",150, 951.39   , 626 , 914.83   ,2019
230,Đồng Nai,121," 1,296.70   ",63,-162.86   , 275 ," 1,009.55   ",2019
231,Bắc Ninh,247, 833.87   ,162, 663.35   , 263 , 85.38   ,2019
232,Hải Phòng,87, 595.13   ,55, 686.48   , 109 , 101.93   ,2019
233,Tây Ninh,35, 860.20   ,34, 329.29   , 39 , 63.99   ,2019
234,Bắc Giang,76, 787.73   ,35, 287.59   , 54 , 26.74   ,2019
235,Bà Rịa - Vũng Tàu,49, 621.27   ,26, 397.14   , 45 , 66.95   ,2019
236,Hà Nam,61, 720.38   ,44, 108.43   , 30 , 14.35   ,2019
237,Long An,146, 290.91   ,99, 246.91   , 203 , 259.94   ,2019
238,Hải Dương,67, 463.70   ,16, 153.34   , 84 , 66.92   ,2019
239,Thái Nguyên,18, 361.84   ,19, 223.89   , 19 , 20.56   ,2019
240,Vĩnh Phúc,60, 527.75   ,5, 8.30   , 69 , 45.03   ,2019
241,Đà Nẵng,131, 386.38   ,14, 3.20   , 263 , 124.69   ,2019
242,Hưng Yên,44, 468.85   ,44,-53.32   , 69 , 44.66   ,2019
243,Bình Phước,41, 296.56   ,25, 105.30   , 41 , 47.12   ,2019
244,Tiền Giang,4, 349.77   ,8, 37.50   , 10 , 8.06   ,2019
245,Thanh Hóa,25, 311.03   ,4, 24.07   , 22 , 14.90   ,2019
246,Phú Thọ,33, 142.13   ,12, 190.31   , 15 , 16.00   ,2019
247,Thừa Thiên Huế,12, 293.41   ,5, 27.30   , 19 , 2.56   ,2019
248,Nghệ An,11, 312.58   ,,, 10 , 2.47   ,2019
249,Quảng Ninh,16, 171.00   ,1, 13.50   , 27 , 57.61   ,2019
250,Phú Yên,1, 216.75   ,1,-0.25   , 2 , 0.06   ,2019
251,Khánh Hòa,8, 109.71   ,1, 0.60   , 128 , 89.17   ,2019
252,Quảng Nam,26, 158.42   ,10,-9.25   , 34 , 31.52   ,2019
253,Bình Thuận,8, 155.85   ,2, 2.10   , 28 , 22.22   ,2019
254,Vĩnh Long,18, 131.57   ,3, 6.70   , 9 , 12.22   ,2019
255,Ninh Bình,7, 120.01   ,3, 23.04   , 10 , 4.92   ,2019
256,Quảng Ngãi,4, 49.50   ,5, 63.40   , 2 , 21.87   ,2019
257,Ninh Thuận,3, 114.63   ,,, 10 , 15.55   ,2019
258,Bạc Liêu,2, 113.47   ,,, 2 , 0.68   ,2019
259,Sóc Trăng,5, 112.05   ,,, 2 , 0.28   ,2019
260,Trà Vinh,4, 99.47   ,,, 7 , 11.02   ,2019
261,Bình Định,6, 80.56   ,3,-14.49   , 14 , 24.58   ,2019
262,Cà Mau,2, 79.50   ,,, 2 , 0.71   ,2019
263,Hậu Giang,2, 69.70   ,,, 3 , 1.34   ,2019
264,Cần Thơ,7, 42.73   ,3, 0.24   , 18 , 25.82   ,2019
265,Thái Bình,7, 28.54   ,5, 28.27   , 13 , 9.52   ,2019
266,An Giang,2, 57.92   ,1, 1.60   , 9 , 5.86   ,2019
267,Nam Định,9, 21.77   ,5, 5.54   , 19 , 37.42   ,2019
268,Bến Tre,3, 16.50   ,2, 4.00   , 10 , 39.24   ,2019
269,Hà Tĩnh,7, 14.31   ,,, 22 , 18.33   ,2019
270,Lâm Đồng,3, 9.06   ,3, 1.37   , 69 , 14.06   ,2019
271,Kiên Giang,5, 8.94   ,1, 8.67   , 20 , 3.06   ,2019
272,Quảng Trị,1, 20.00   ,,,,,2019
273,Tuyên Quang,6, 13.90   ,,, 4 , 2.70   ,2019
274,Đồng Tháp,2, 11.51   ,,, 4 , 1.52   ,2019
275,Yên Bái,3, 4.43   ,1, 1.11   , 7 , 1.76   ,2019
276,Kon Tum,1, 0.78   ,,, 2 , 4.85   ,2019
277,Bắc Kạn,1, 4.32   ,,, 1 , 0.06   ,2019
278,Đăk Lăk,,,,, 2 , 2.56   ,2019
279,Lạng Sơn,,,,, 4 , 1.39   ,2019
280,Điện Biên,,,,, 1 , 1.22   ,2019
281,Lào Cai,1, 0.87   ,,, 2 , 0.08   ,2019
282,Quảng Bình,,,,, 5 , 0.78   ,2019
283,Hà Giang,,,,, 1 , 0.50   ,2019
284,Sơn La,,,,, 2 , 0.38   ,2019
285,Đăk Nông,,,,, 1 , 0.14   ,2019
286,Cao Bằng,,,,, 2 , 0.07   ,2019
287,Lai Châu,,,,, 1 , 0.05   ,2019
288,Hòa Bình,3, 17.66   ,6,-20.50   , 7 , 1.80   ,2019
289,TP. Hồ Chí Minh, 950 , 637.68 , 250 , 540.87 ," 3,640 "," 3,177.38 ",2020
290,Bạc Liêu, 1 ," 4,000.00 ", -   , -   , -   , -   ,2020
291,Hà Nội, 496 , 711.81 , 158 ," 1,261.91 ", 751 ," 1,611.82 ",2020
292,Bà Rịa - Vũng Tàu, 31 , 302.36 , 8 ," 1,489.66 ", 37 , 381.78 ,2020
293,Bình Dương, 133 , 783.90 , 92 , 317.64 , 395 , 782.12 ,2020
294,Hải Phòng, 79 ," 1,064.13 ", 28 , 376.67 , 72 , 69.76 ,2020
295,Đồng Nai, 69 , 405.04 , 38 , 160.49 , 142 , 362.83 ,2020
296,Bắc Ninh, 153 , 429.97 , 99 , 381.87 , 162 , 89.35 ,2020
297,Bắc Giang, 35 , 395.30 , 55 , 432.49 , 39 , 66.90 ,2020
298,Long An, 113 , 326.24 , 102 , 305.11 , 132 , 178.94 ,2020
299,Hà Nam, 33 , 574.26 , 33 , 145.26 , 28 , 10.24 ,2020
300,Bến Tre, 8 , 541.12 , 2 , 5.62 , 7 , 21.96 ,2020
301,Tây Ninh, 15 , 388.16 , 29 , 121.91 , 34 , 38.00 ,2020
302,Vĩnh Phúc, 28 , 497.50 , 13 , 20.49 , 32 , 22.72 ,2020
303,Hải Dương, 32 , 164.42 , 46 , 322.80 , 42 , 33.06 ,2020
304,Quảng Ninh, 16 , 465.99 , 2 , 14.88 , 16 , 24.79 ,2020
305,Hưng Yên, 22 , 241.74 , 34 , 203.03 , 40 , 43.01 ,2020
306,Thái Nguyên, 20 , 373.92 , 12 , 24.30 , 16 , 2.54 ,2020
307,Bình Phước, 48 , 322.38 , 18 , 26.15 , 18 , 20.57 ,2020
308,Thanh Hóa, 14 , 240.30 , 7 , 100.95 , 22 , 8.29 ,2020
309,Phú Thọ, 19 , 221.55 , 17 , 59.64 , 10 , 9.56 ,2020
310,Quảng Bình, 3 , 295.11 , 1 , (10.97), 2 , 0.12 ,2020
311,Vĩnh Long, 6 , 104.42 , 9 , 52.52 , 1 , 82.84 ,2020
312,Đà Nẵng, 83 , 128.86 , 20 , 80.06 , 105 , 8.63 ,2020
313,Nghệ An, 10 , 164.70 , -   , -   , 6 , 4.75 ,2020
314,Tiền Giang, 9 , 108.19 , 11 , 55.28 , 6 , 3.69 ,2020
315,Đăk Nông, 4 , 149.62 , -   , -   , 1 , 0.14 ,2020
316,Quảng Ngãi, 3 , 64.03 , 7 , 63.30 , 3 , 4.25 ,2020
317,Trà Vinh, 3 , 2.79 , 4 , 31.63 , 15 , 83.07 ,2020
318,Ninh Bình, 7 , 29.61 , 2 , 42.00 , 5 , 44.13 ,2020
319,Bình Thuận, 6 , 77.77 , 3 , 1.19 , 27 , 21.49 ,2020
320,Nam Định, 16 , 50.94 , 8 , 20.22 , 19 , 26.75 ,2020
321,Thái Bình, 11 , 82.81 , 1 , 0.30 , 9 , 7.78 ,2020
322,Khánh Hòa, 5 , 30.26 , 2 , 13.45 , 116 , 32.86 ,2020
323,Sóc Trăng, 2 , 70.39 , 5 , (18.76), 1 , 0.52 ,2020
324,Bình Định, 4 , 10.93 , 3 , 4.85 , 15 , 29.21 ,2020
325,Cần Thơ, 5 , 31.72 , 1 , 0.47 , 11 , 11.43 ,2020
326,Thừa Thiên Huế, 6 , 18.42 , -   , -   , 23 , 23.77 ,2020
327,Cà Mau, 1 , 40.77 , -   , -   , 1 , 0.04 ,2020
328,Hòa Bình, 2 , 3.58 , 3 , 8.86 , 9 , 11.84 ,2020
329,Quảng Trị, -   , -   , 1 , 10.10 , 5 , 10.07 ,2020
330,Lâm Đồng, 3 , 10.00 , -   , -   , 41 , 8.34 ,2020
331,Đồng Tháp, -   , -   , 1 , 1.73 , 6 , 14.48 ,2020
332,Hà Tĩnh, 2 , 10.28 , -   , -   , 8 , 5.29 ,2020
333,Kiên Giang, 1 , 5.00 , -   , -   , 19 , 9.32 ,2020
334,Tuyên Quang, 1 , 12.00 , -   , -   , 4 , 2.30 ,2020
335,Gia Lai, 1 , 7.00 , 1 , 0.43 , 2 , 0.86 ,2020
336,Yên Bái, 1 , 2.02 , 1 , 0.68 , 10 , 5.58 ,2020
337,Lào Cai, 1 , 2.26 , -   , -   , 1 , 5.40 ,2020
338,An Giang, 1 , 1.83 , 1 , 1.50 , 1 , 2.36 ,2020
339,Hậu Giang, 1 , 5.00 , -   , -   , 1 , 0.08 ,2020
340,Đăk Lăk, 1 , 4.05 , -   , -   , -   , -   ,2020
341,Sơn La, -   , -   , -   , -   , 1 , 0.88 ,2020
342,Phú Yên, 1 , 0.22 , -   , -   , 3 , 0.20 ,2020
343,Kon Tum, -   , -   , -   , -   , 3 , 0.31 ,2020
344,Điện Biên, -   , -   , -   , -   , 1 , 0.12 ,2020
345,Cao Bằng, -   , -   , -   , -   , 1 , 0.08 ,2020
346,Quảng Nam, 8 , 34.10 , 10 , (97.56), 15 , 27.36 ,2020
347,Ninh Thuận, -   , -   , 2 , (158.51), 9 , 23.22 ,2020
348, Hải Phòng , 48 , 317.08 , 65 ," 2,727.59 ", 35 ," 2,217.58 ",2021
349, Long An , 54 ," 3,518.84 ", 65 , 255.24 , 43 , 68.89 ,2021
350, TP. Hồ Chí Minh , 633 , 686.63 , 178 ," 1,124.28 "," 2,289 "," 1,927.21 ",2021
351, Bình Dương , 75 , 629.56 , 26 , 669.52 , 202 , 834.05 ,2021
352, Bắc Ninh , 126 ," 1,170.51 ", 96 , 320.56 , 113 , 171.71 ,2021
353, Hà Nội , 362 , 237.55 , 146 , 838.77 , 462 , 448.14 ,2021
354, Đồng Nai , 51 , 295.44 , 49 , 466.97 , 87 , 597.27 ,2021
355, Cần Thơ , 5 ," 1,316.82 ", 1 , 9.00 , 7 , 1.46 ,2021
356, Bắc Giang , 21 , 621.84 , 45 , 652.71 , 40 , 39.60 ,2021
357, Quảng Ninh , 10 ," 1,011.55 ", 4 , 113.95 , 11 , 31.17 ,2021
358, Tây Ninh , 16 , 247.90 , 26 , 573.89 , 8 , 1.69 ,2021
359, Vĩnh Phúc , 27 , 703.14 , 8 , 33.21 , 13 , 7.68 ,2021
360, Hưng Yên , 28 , 393.80 , 38 , 272.59 , 34 , 45.74 ,2021
361, Phú Thọ , 15 , 434.24 , 16 , 133.55 , 7 , 9.60 ,2021
362, Thái Bình , 6 , 459.85 , 1 , 1.44 , 3 , 1.35 ,2021
363, Đăk Lăk , 8 , 454.88 , -   , -   , 2 , 0.22 ,2021
364, Bình Phước , 49 , 327.52 , 32 , 109.37 , 13 , 13.48 ,2021
365, Bà Rịa - Vũng Tàu , 21 , 345.08 , 10 , 10.42 , 23 , 42.66 ,2021
366, Hải Dương , 17 , 110.25 , 43 , 195.05 , 50 , 26.31 ,2021
367, Nghệ An , 9 , 283.18 , 6 , 34.67 , 3 , 0.66 ,2021
368, Hà Nam , 20 , 237.25 , 28 , 68.64 , 3 , 1.99 ,2021
369, Thái Nguyên , 15 , 111.34 , 15 , 104.63 , 8 , 4.33 ,2021
370, Thanh Hóa , 11 , 137.44 , 8 , 42.43 , 7 , 12.96 ,2021
371, Thừa Thiên Huế , 3 , 165.56 , 2 , 16.30 , 11 , 1.62 ,2021
372, Đà Nẵng , 40 , 150.00 , 19 , 10.61 , 51 , 11.73 ,2021
373, Ninh Bình , 7 , 83.76 , 2 , 22.00 , 11 , 51.08 ,2021
